anfangen,fängt an,fing an,hat angefangen
ankommen,kommt an,kam an,ist angekommen
aufgeben, gibt auf, gab auf, hat aufgegeben
aufhalten,hält auf,hielt auf,hat aufgehalten
ausgeben,gibt aus,gab aus,hat ausgegeben
auskommen,kommt aus,kam aus,ist ausgekommen
backen,bäckt,buk,hat gebacken
baden,badet,badete,hat gebadet
befehlen,befiehlt,befahl,hat befohlen
begegnen,begegnet,begegnete,ist begegnet
beginnen,beginnt,begann,hat begonnen
behalten,behält,behielt,hat behalten
beißen,beißt,biss,hat gebissen
bekommen,bekommt,bekam,hat bekommen
bersten,birst,barst,ist geborsten
besitzen,besitzt,besaß,hat besessen
bestehen,besteht,bestand,hat bestanden
beten,betet,betete,hat gebetet
blasen,bläst,blies,hat geblasen
bleiben,bleibt,blieb,ist geblieben
braten,brät,briet,hat gebraten
brauchen,braucht,brauchte,hat gebraucht
brechen,bricht,brach,hat gebrochen
brennen,brennt,brannte,hat gebrannt
bringen,bringt,brachte,hat gebracht
danken,dankt,dankte,hat gedankt
denken,denkt,dachte,hat gedacht
dürfen,darf,durfte,hat gedurft
empfangen,empfängt,empfing,hat empfangen
empfehlen,empfiehlt,empfahl,hat empfohlen
enthalten,enthält,enthielt,hat enthalten
entkommen,entkommt,entkam,ist entkommen
entscheiden,entscheidet,entschied,hat entschieden
erfahren,erfährt,erfuhr,hat erfahren
erfinden,erfindet,erfand,hat erfunden
erhalten,erhält,erhielt,hat erhalten
erlöschen,erlischt,erlosch,ist erloschen
essen,isst,aß,hat gegessen
fahren,fährt,fuhr,ist gefahren
fallen,fällt,fiel,ist gefallen
fangen,fängt,fing,hat gefangen
finden,findet,fand,hat gefunden
fliegen,fliegt,flog,ist geflogen
fliehen,flieht,floh,ist geflohen
fließen,fließt,floss,ist geflossen
fressen,frisst,fraß,hat gefressen
frieren,friert,fror,hat gefroren
gebrauchen,gebraucht,gebrauchte,hat gebraucht
gefallen,gefällt,gefiel,hat gefallen
gelingen,gelingt,gelang,ist gelungen
gelten,gilt,galt,hat gegolten
genesen,genest,genas,ist genesen
genießen,genießt,genoss,hat genossen
geraten,gerät,geriet,ist geraten
geschehen,geschah,geschehen,ist geschehen
gewinnen,gewinnt,gewann,hat gewonnen
gießen,gießt,goss,hat gegossen
gleichen,gleicht,glich,hat geglichen
gleiten,gleitet,glitt,ist geglitten
glimmen,glimmt,glimmte,hat geglimmt
graben,gräbt,grub,hat gegraben
greifen,greift,griff,hat gegriffen
grollen,grollt,grollte,hat gegrollt
haben,hat,hatte,hat gehabt
halten,hält,hielt,hat gehalten
heben,hebt,hob,hat gehoben
heißen,heißt,hieß,hat geheißen
helfen,hilft,half,hat geholfen
kennen,kennt,kannte,hat gekannt
kennenlernen,lerntkennen,lerntekennen,hat kennengelernt
klingen,klingt,klang,hat geklungen
kneifen,kneift,kniff,hat gekniffen
knüpfen,knüpft,knüpfte,hat geknüpft
kochen,kocht,kochte,hat gekocht
kommen,kommt,kam,ist gekommen
können,kann,konnte,hat gekonnt
laden,lädt,lud,hat geladen
landen,landet,landete,ist gelandet
lassen,lässt,ließ,hat gelassen
laufen,läuft,lief,ist gelaufen
lehren,lehrt,lehrte,hat gelehrt
leiden,leidet,litt,hat gelitten
leihen,leiht,lieh,hat geliehen
lesen,liest,las,hat gelesen
liegen,liegt,lag,hat gelegen
lügen,lügt,log,hat gelogen
messen,misst,maß,hat gemessen
mögen,mag,mochte,hat gemocht
müssen,muss,musste,hat gemusst
nehmen,nimmt,nahm,hat genommen
nennen,nennt,nannte,hat genannt
nützen,nützt,nützte,hat genützt
passieren,passiert,passierte,hat passiert
pfeifen,pfeift,pfiff,hat gepfiffen
quellen,quillt,quoll,ist gequollen
raten,rät,riet,hat geraten
reiben,reibt,rieb,hat gerieben
reiten,reitet,ritt,ist geritten
rennen,rennt,rannte,ist gerannt
retten,rettet,rettete,hat gerettet
richten,richtet,richtete,hat gerichtet
riechen,riecht,roch,hat gerochen
ringen,ringt,rang,hat gerungen
rinnen,rinnt,rann,ist geronnen
rufen,ruft,rief,hat gerufen
saufen,säuft,soff,hat gesoffen
saugen,saugt,sog,hat gesogen
schaffen,schafft,schuf,hat geschaffen
scheinen,scheint,schien,hat geschienen
schelten,schilt,schalt,hat gescholten
schieben,schiebt,schob,hat geschoben
schießen,schießt,schoss,hat geschossen
schlafen,schläft,schlief,hat geschlafen
schlagen,schlägt,schlug,hat geschlagen
schleichen,schleicht,schlich,ist geschlichen
schleifen,schleift,schleifte,hat geschleift
schlichten,schlichtet,schlichtete,hat geschlichtet
schließen,schließt,schloss,hat geschlossen
schlingen,schlingt,schlang,hat geschlungen
schlüpfen,schlüpft,schlüpfte,ist geschlüpft
schmeißen,schmeißt,schmiss,hat geschmissen
schmelzen,schmilzt,schmolz,ist geschmolzen
schneiden,schneidet,schnitt,hat geschnitten
schreiben,schreibt,schrieb,hat geschrieben
schreien,schreit,schrie,hat geschrien
schreiten,schreitet,schritt,ist geschritten
schweigen,schweigt,schwieg,hat geschwiegen
schwellen,schwillt,schwoll,ist geschwollen
schwimmen,schwimmt,schwamm,ist geschwommen
schwinden,schwindet,schwand,ist geschwunden
schwingen,schwingt,schwang,hat geschwungen
schwören,schwört,schwor,hat geschworen
sehen,sieht,sah,hat gesehen
senden,sendet,sendete,hat gesendet
singen,singt,sang,hat gesungen
sinken,sinkt,sank,ist gesunken
sinnen,sinnt,sann,hat gesonnen
sitzen,sitzt,saß,hat gesessen
sollen,soll,sollte,hat gesollt
spalten,spaltet,spaltete,hat gespalten
spazieren,spaziert,spazierte,ist spaziert
spinnen,spinnt,spann,hat gesponnen
sprechen,spricht,sprach,hat gesprochen
sprießen,sprießt,spross,ist gesprossen
springen,springt,sprang,ist gesprungen
stattfinden,findetstatt,fandstatt,hat stattgefunden
stechen,sticht,stach,hat gestochen
stehen,steht,stand,hat gestanden
stehlen,stiehlt,stahl,hat gestohlen
steigen,steigt,stieg,ist gestiegen
sterben,stirbt,starb,ist gestorben
stinken,stinkt,stank,hat gestunken
stoßen,stößt,stieß,hat gestoßen
streichen,streicht,strich,hat gestrichen
streiten,streitet,stritt,hat gestritten
stricken,strickt,strickte,hat gestrickt
tragen,trägt,trug,hat getragen
treffen,trifft,traf,hat getroffen
treiben,treibt,trieb,hat getrieben
treten,tritt,trat,hat getreten
trinken,trinkt,trank,hat getrunken
tun,tut,tat,hat getan
verkommen,verkommt,verkam,ist verkommen
verlieren,verliert,verlor,hat verloren
verraten,verrät,verriet,hat verraten
verrecken,verreckt,verreckte,ist verreckt
versprechen,verspricht,versprach,hat versprochen
verstehen,versteht,verstand,hat verstanden
verzeihen,verzeiht,verzieh,hat verziehen
vorkommen,kommtvor,kamvor,ist vorgekommen
vorstellen,stelltvor,stelltevor,hat vorgestellt
wachsen,wächst,wuchs,ist gewachsen
wandern,wandert,wanderte,ist gewandert
waschen,wäscht,wusch,hat gewaschen
weichen,weicht,wich,ist gewichen
weisen,weist,wies,hat gewiesen
wenden,wendet,wandte,hat gewandt
werben,wirbt,warb,hat geworben
werden,wird,wurde,ist geworden
werfen,wirft,warf,hat geworfen
wiegen,wiegt,wog,hat gewogen
wissen,weiß,wusste,hat gewusst
ziehen,zieht,zog,hat gezogen
zwingen,zwingt,zwang,hat gezwungen
